# Per-account overrides for the proposed book. Edit this file, then run:
#   python3 tiering/update_whole_team_map.py
#
# account      Must match the account name in index.html exactly, and must match
#              exactly one account. The script fails if a name matches nothing.
# new_xp       The proposed XP. Blank keeps whatever the base map proposed.
# new_segment  State, Local ENT or Local SMG. Blank keeps the segment.
#              Local SMG clears the Enterprise flag; State and Local ENT set it.
# remove       yes drops the account from the map entirely.
# note         Free text. Not parsed.
#
# Rules that are not per-account live in update_whole_team_map.py: the list of
# people who cannot hold accounts, where a displaced AE group goes, and the
# Kentucky and North Dakota enterprise-agreement rollup.
account,new_xp,new_segment,remove,note
Nevada Department of Human Services,Cody Nichols,,,Nevada state agencies consolidate with Cody on Cameron Chadsey
Nevada Health Authority,Cody Nichols,,,Nevada state agencies consolidate with Cody on Cameron Chadsey
Nevada Department of Motor Vehicles,Cody Nichols,,,Nevada state agencies consolidate with Cody on Cameron Chadsey
"Yavapai County AZ",Colleen Moran,,,Off Cody to the 17-account target. Colleen already covers Arizona local (Glendale) and is Pacific time
"Albuquerque, NM",Colleen Moran,,,Off Cody to the 17-account target. Stephen Allen group stays together
"Yuma County AZ",Colleen Moran,,,Off Cody to the 17-account target. Stephen Allen group stays together
Virginia Department of General Services,,,yes,Removed from the book
Nashville-Davidson County TN,Andy O'Brien,,,Off Carolina; Andy already works with Carter Bradford
"Oakland, CA",Colleen Moran,,,Off Carolina; Colleen already works with Andrew Murray
"Aurora, IL",Marcy Castro,,,Off Carolina; Marcy already works with Kent Hartsfield
"Glendale, AZ",Colleen Moran,,,Off Carolina; Conrad Taylor has no other book and this is Pacific time
Allegheny County Treasurer Office,Halena Martin,,,Off Carolina; Halena already works with Andrew Wyzkoski
"Outagamie County, WI",Brooke Minichino,,,Off Carolina; Brooke already works with Tyler Carlson
"Ocala, FL",Natalia Sanchez,,,Frees Brooke's seventeenth seat; Natalia already covers Local SMG FL
Kentucky Cabinet for Health & Family Services (CHFS),Andy O'Brien,,,Kentucky state with Andy; Carolina keeps only Idaho and North Dakota
Kentucky Office of Homeland Security,Andy O'Brien,,,Kentucky state with Andy; Carolina keeps only Idaho and North Dakota
Kentucky Transportation Cabinet,Andy O'Brien,,,Kentucky state with Andy; Carolina keeps only Idaho and North Dakota
Pedernales Electric Cooperative,Alejandro Solano,,,Traded with DART; Steffany and Alejandro swap these two Texas accounts
Dallas Area Rapid Transit (DART),Steffany Amador,,,Traded with Pedernales; Steffany and Alejandro swap these two Texas accounts
New Jersey Cybersecurity and Communications Integration Cell,Taylor Roman,,,NY/NJ state agencies with Taylor
New Jersey Department of Children and Families,Taylor Roman,,,NY/NJ state agencies with Taylor
New York Office of the Inspector General,Taylor Roman,,,NY/NJ state agencies with Taylor
New York State Department of Labor,Taylor Roman,,,NY/NJ state agencies with Taylor
"Connecticut Public Utilities Regulatory Authority [PURA],",Halena Martin,,,Stephanie DelSignore's Connecticut book stays with Halena
Houston Independent School District,Luis Aguilar,Local SMG,,Stays midmarket with Luis's Texas book
Sarasota County/Clerk of the Circuit Court - FL,Natalia Sanchez,Local SMG,,Stays midmarket; Natalia already covers Prachi Patel
"Hillsborough County FL, Environmental Protection Commission",Natalia Sanchez,Local SMG,,Stays midmarket; Natalia already covers Prachi Patel
Health Care District of Palm Beach County - FL,Carolina Cambronero,Local ENT,,Stays with Carolina Cambronero's Florida book (Desmond, Bill Marshall, Demi) rather than midmarket
North Collier Fire Control and Rescue District,Natalia Sanchez,Local SMG,,Non-SAM special district
Housing Authority of the City of Pittsburgh,Carlos Torres,Local SMG,,Non-SAM special district
Los Angeles County Sanitation District,Colleen Moran,Local ENT,,Colleen holds the LA estate; stays Enterprise with her
Metropolitan Water District of Southern California,Tatiana Montero,Local SMG,,Non-SAM special district in Tatiana's Southern California book
North Central Texas Council of Governments,Luis Aguilar,Local SMG,,Non-SAM special district follows Texas rather than the national transportation vertical
North Jersey Transportation Planning Authority,Carlos Torres,Local SMG,,Non-SAM special district on the transportation vertical
Tri-County Metropolitan Transportation District of Oregon (TriMet),Carlos Torres,Local SMG,,Non-SAM special district on the transportation vertical
"Cook County, IL",Halena Martin,,,Kent Hartsfield's Chicago SAM block to Halena; traded for Territory 4a
Chicago Metropolitan Agency for Planning,Halena Martin,,,Kent Hartsfield's Chicago SAM block to Halena; traded for Territory 4a
Franklin County OH,Halena Martin,,,Kent Hartsfield's Columbus SAM block to Halena; traded for Territory 4a
Columbus OH,Halena Martin,,,Kent Hartsfield's Columbus SAM block to Halena; releases the Ashley-report hold
