account,state,side,ae,xp_new,xp_wip,arr,countable,ncap,capability_data,territory_tier,territory_score,account_whitespace,growth_potential,tier,tier_label
New York State Department of Labor,NY,State,Stephanie DelSignore,Halena Martin,Halena Martin,1601204.0,True,3,reported,B,57.0,0.625,0.592,1,Growth engine
Connecticut Department of Administrative Services,CT,State,Stephanie DelSignore,Halena Martin,Halena Martin,605766.08,True,1,reported,C,40.5,0.875,0.593,1,Growth engine
Harris County TX - Universal Services,TX,Local ENT,Pete Redondo,Carolina Cambronero,Taylor Roman,589580.62,True,2,reported,A,63.1,0.75,0.6786,1,Growth engine
California Department of Healthcare Services (DHCS),CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,556584.96,True,2,reported,B,54.4,0.75,0.6264,1,Growth engine
"Virginia Beach, VA",VA,Local ENT,Josh Gondwe,Andy O'Brien,Andy O'Brien,502421.63,True,3,reported,A,63.9,0.625,0.6334,1,Growth engine
California Department of Corrections and Rehabilitation (CDCR),CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,489275.93,True,2,reported,B,54.4,0.75,0.6264,1,Growth engine
Dallas Area Rapid Transit (DART),TX,Local ENT,Dallas SAM (open),Alejandro Solano,(not in WIP),464655.03,True,3,reported,A,63.1,0.625,0.6286,1,Growth engine
Sonoma County CA,CA,Local ENT,Jason Spanier,Colleen Moran,Colleen Moran,352515.34,True,3,reported,A,62.3,0.625,0.6238,1,Growth engine
Texas Department of Motor Vehicles,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,330981.51,True,2,reported,A,82.4,0.75,0.7944,1,Growth engine
Prince William County VA,VA,Local ENT,Josh Gondwe,Andy O'Brien,Andy O'Brien,328705.07,True,4,reported,A,63.9,0.5,0.5834,1,Growth engine
Texas Department of Transportation (TXDOT),TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,321374.86,True,3,reported,A,82.4,0.625,0.7444,1,Growth engine
"Los Angeles County CA, Board of Supervisors",CA,Local ENT,Jeff Gaisford,Colleen Moran,Colleen Moran,304952.83,True,3,reported,A,62.3,0.625,0.6238,1,Growth engine
"DeKalb County, GA",GA,Local ENT,Spencer Ferrell,Taylor Roman,Andy O'Brien,276832.45,True,3,reported,A,61.3,0.625,0.6178,1,Growth engine
Texas Department of Insurance,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,259573.23,True,2,reported,A,82.4,0.75,0.7944,1,Growth engine
Tennessee General Assembly,TN,State,State AE – KY/TN/AR,Andy O'Brien,(not in WIP),244499.75,True,1,reported,B,47.9,0.875,0.6374,1,Growth engine
Texas Department of Licensing and Regulation,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,226136.4,True,2,reported,A,82.4,0.75,0.7944,1,Growth engine
Texas Workforce Commission,TX,State,No State AE shown (TX),Steffany Amador,Taylor Roman,225902.6,True,5,reported,A,82.4,0.375,0.6444,1,Growth engine
"Superior Court of California, County of San Francisco",CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,216759.24,True,1,reported,B,54.4,0.875,0.6764,1,Growth engine
Riverside County CA,CA,Local ENT,Jason Spanier,Colleen Moran,Colleen Moran,216678.09,True,2,reported,A,62.3,0.75,0.6738,1,Growth engine
Massachusetts Department of Transportation,MA,State,Stephanie DelSignore,Halena Martin,Halena Martin,214643.91,True,2,reported,A,61.8,0.75,0.6708,1,Growth engine
Metropolitan Water District of Southern California,CA,Local ENT,Jeff Gaisford,Colleen Moran,(not in WIP),207314.67,True,2,reported,A,62.3,0.75,0.6738,1,Growth engine
California Department of Public Health,CA,State,State AE – CA/HI,Open XP2 (PT),Colleen Moran,184370.67,True,2,reported,B,54.4,0.75,0.6264,1,Growth engine
Ramsey County MN,MN,Local ENT,Tyler Carlson,Brooke Minichino,Brooke Minichino,177558.91,True,3,reported,A,58.5,0.625,0.601,1,Growth engine
