abbr,state,territory_tier,state_side_tier,local_side_tier,split_territory,blended_score,state_side_score,local_side_score,confidence,posture,rdf_pct,budget_cycle,it_mod_signal,grant_env,arpa_cliff,purchasing_access,channel_occupied,local_capacity,tax_cap_pressure,population,pop_pct_chg,dom_mig_per_1k,permit_chg_pct,permits_per_100k,addressable_over_100k,local_accounts_held,open_jurisdictions,in_book_state_accounts,in_book_local_accounts,state_arr,local_arr,state_arr_per_million,it_note,grant_note,overlay_note
TX,Texas,A,A,A,False,74.0,82.4,63.1,med,Stable,23.3,Biennial,funded,thin,med,strong,False,typical,True,31709821.0,1.25,2.12,-8.1,657.0,87,10,77,13,10,2013624,2823033,63502,DIR project/contract pipeline: 88 projects / $788.1M; $135M Texas Cyber Command,"DIR cooperative technology contracts + Texas SmartBuy Membership Program + TXMAS — the strongest local purchasing access in the country; $1.5B state Broadband Infrastructure Fund (created 2023, state says it offsets the DEA loss); BEAD $3.31B (largest). But state aid $170/cap (#47) and no state grant program for local government technology",DIR plus SmartBuy plus TXMAS plus TIPS plus BuyBoard is the strongest local purchasing access in the country; DIR pipeline 88 projects/788.1M; 51B committed to property tax relief
GA,Georgia,A,A,A,False,72.9,77.5,61.3,low,Stable,15.4,Annual,funded,moderate,med,present,True,typical,False,11302748.0,0.88,2.42,-5.3,535.0,36,2,34,5,2,328232,406859,29040,"Technology Empowerment Fund $57.5M in AFY2026, incl. $35M integrated eligibility, $7.5M cyber",GTA statewide contracts; Georgia Cyber Center; low state aid ($316/cap); BEAD $1.31B,GTA statewide contracts; Technology Empowerment Fund 57.5M AFY2026; VC3 holds the GMA endorsement
VA,Virginia,A,A,A,False,68.9,78.8,63.9,high,Stable,12.4,Biennial,funded,rich,med,strong,False,typical,False,8880107.0,0.69,0.71,5.8,374.0,18,2,16,1,2,82354,831127,9274,VITA $393.1M FY26; 85-project technology portfolio $929.8M,"VITA cybersecurity grant program with General Assembly–appropriated state match (FFY24: $6.55M federal + $2.81M state = $9.36M; FFY25: ~$2.11M federal / $3.52M total at 40% match); VASCUPP & eVA; Virginia Telecommunication Initiative; state aid $2,241/cap (#4); BEAD $1.48B",Statute opens VITA contracts to all localities and VITA policy disfavours co-op workarounds; VITA 393.1M FY26 and an 85-project 929.8M portfolio
NM,New Mexico,A,A,B,True,65.3,67.0,53.4,low,Expanding,24.1,Annual,funded,moderate,med,present,False,typical,False,2125498.0,-0.06,-1.07,0.3,361.0,8,1,7,7,1,383693,90042,180519,Computer Systems Enhancement Fund + $20M Technology Enhancement Fund; $26M DoIT in 2026 GAA; $391.1M agency IT requests,"Office of Broadband Access & Expansion / Connect New Mexico (state-funded from oil & gas surplus); state aid $1,459/cap; BEAD $675M",Carahsoft 30-00000-23-00067 to Apr 2027; Computer Systems Enhancement Fund plus 20M Technology Enhancement Fund
NC,North Carolina,A,A,A,False,64.9,62.1,64.9,low,Stable,11.1,Biennial,none,moderate,med,present,True,constrained,False,11197968.0,1.32,7.51,-2.0,767.0,39,2,37,0,2,0,202481,0,,"NCDIT statewide term contracts; GREAT/CAB state broadband grants; state aid $1,859/cap; BEAD $1.53B",NCDIT statewide term contracts; documented county procurement-capacity gap; VC3 holds the NCLM endorsement
MN,Minnesota,A,A,A,False,64.4,67.4,58.5,med,Constrained,10.6,Biennial,funded,rich,med,strong,False,constrained,False,5830405.0,0.57,1.42,6.8,355.0,15,2,13,4,2,136946,403270,23488,"Human Services Systems Modernization Fund: ~$50M FY27 GF transfer, $11.4M MNIT, $10M county IT","SLCGP $18M federal plus $5.5M state match appropriated by the legislature; MNIT whole-of-state plan; Cooperative Purchasing Venture (Minn. Stat. §16C.03 subd.10) open to counties, cities, towns, townships, schools",Cooperative Purchasing Venture open to counties and cities; Human Services Systems Modernization Fund ~50M FY27 plus 10M county IT
IN,Indiana,A,B,A,True,63.7,51.8,63.7,low,Constrained,9.5,Biennial,none,moderate,med,present,False,typical,False,6973333.0,0.56,1.75,1.7,426.0,24,1,23,0,1,0,70972,0,,Indiana Office of Technology free/low-cost cyber services to locals; state QPA contracts; Next Level Connections,State QPA contracts
MA,Massachusetts,A,A,A,False,61.8,61.8,65.3,med,Stable,15.8,Annual,none,rich,low,present,False,typical,False,7154084.0,0.22,-4.66,6.3,169.0,20,0,20,1,0,214644,0,30003,,"Community Compact IT Grant — $4M to 67 municipalities in FY2026, $5k–$140k awards, no local match, 602 grants / $38.1M since FY2016; FY26 prioritized ADA Title II accessibility; funded e-permitting, records digitization, document management, financial systems, GIS. Plus Municipal Fiber grant, Efficiency & Regionalization, MassCyberCenter, OSD statewide contracts open to munis",OSD statewide contracts open to munis; Community Compact IT grant prioritises ADA Title II
NY,New York,A,B,A,True,61.7,57.0,64.9,med,Constrained,7.7,Annual,none,rich,low (state) / med (nyc & locals),strong,False,constrained,False,20002427.0,0.01,-6.88,16.7,189.0,34,3,31,2,3,1632532,226709,81617,,"LGRMIF — $4.1M to 65 local institutions for 2026-27 (218 applications / $12.8M requested); up to $75k single, $150k shared-services; $255M+ since 1988; categories include document conversion/digitization and files management. Plus ConnectALL, $9M released Aug 2026 for water/wastewater cyber, OGS statewide contracts; highest state aid ($3,312/cap). State reported fully spending SLFRF",GovQA is the de facto statewide FOIL standard at 63 of 72 agencies; township in every county outside NYC
AR,Arkansas,A,A,B,True,60.2,65.2,55.3,low,Expanding,27.9,Annual,none,thin,med,coop_only,False,typical,False,3114791.0,0.6,4.65,7.4,497.0,9,0,9,0,0,0,0,0,,Arkansas Rural Connect (broadband only); BEAD $1.02B; no local tech grant found,
FL,Florida,A,A,B,True,58.8,62.0,57.8,med,Constrained,8.6,Annual,governance,rich,med,present,False,typical,True,23462518.0,0.85,0.96,-6.1,747.0,63,13,50,4,13,505348,2567452,21539,"FL Digital Service oversight regime (HB 1197) — governance, not new funding","Local Government Cybersecurity Grant Program — Fla. Stat. §282.31855, Florida Digital Service, $15M in FY2025-26, no local match, priority to fiscally constrained rural counties, awards by Dec 1 annually; state term contracts. Low state aid ($217/cap)",OMNIA/Cobb vehicle to Apr 2028; HB 1197 adds Florida Digital Service oversight without funding; Amendment 3 on the Nov 2026 ballot
